"F1....f1aonly","F2....f2aonly","F3....f3aonly","F1F2....f1f2aonly","F1F3....f1f3aonly","F2F3....f2f3aonly","F1gF2....f1gf2","F1gF3....f1gf3","F2gF1....f2gf1","F2gF3....f2gf3","F3gF1....f3gf1","F3gF2....f3gf2","F1gF2F3....f2f3","F2gF1F3....f1f3","F3gF1F2....f1f2","Overlap....overlap"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,-1.49999999999996,0,-1.49999999999996,0,0,0,0,0
1,0,0,0,0,0,0,0,-1.22222222222206,0,-1.22222222222206,0,0,0,0,0
1,0,0,0,0,0,0,0,-1.0000000000001,0,-1.0000000000001,0,0,0,0,0
1,0,0,0,0,0,0,0,-0.81818181818177,0,-0.81818181818177,0,0,0,0,0
1,0,0,0,0,0,0,0,-0.666666666666678,0,-0.666666666666678,0,0,0,0,0
1,0,0,0,0,0,0,0,-0.538461538461499,0,-0.538461538461499,0,0,0,0,0
1,0,0,0,0,0,0,0,-0.428571428571342,0,-0.428571428571342,0,0,0,0,0
1,1,0,0,0,0,-0.33333333333337,0,-0.33333333333337,0,-0.33333333333337,-0.33333333333337,0,0,0,0
1,1,0,0,0,0,-0.250000000000017,0,-0.250000000000017,0,-0.250000000000017,-0.250000000000017,0,0,0,0
1,1,0,0,0,0,-0.176470588235355,0,-0.176470588235355,0,-0.176470588235355,-0.176470588235355,0,0,0,0
1,1,0,0,0,0,-0.111111111111105,0,-0.111111111111105,0,-0.111111111111105,-0.111111111111105,0,0,0,0
1,1,1,0,0,0,-0.0526315789474492,-0.0526315789474492,-0.0526315789474492,-0.0526315789474492,-0.0526315789474492,-0.0526315789474492,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
